ID,Feed,Sentiment
337,اللهم ارزقنا الصدق في طلب الاخلاص والاخلاص في طلب الصدق واجمع لنا بينهما بعفوك وقدرتك يا الله,Positive
338,اللهم ارزقنا العمل الصالح الذريه الصالحه ارزقنا يا الله حسن الخاتمه,Positive
339,اللهم ارزقنا ان نكون مثلهم,Positive
340,اللهم ارزقنا رزقا حلالا تغننا به عن حرامك,Positive
341,اللهم ارزقنا فعل الخيرات وترك المنكرات,Positive
342,اللهم ارزقنا كما ترزق البغاث تسلميلي هنوده حلوه كثير الله يفتح عليكي يهدينا اياكي,Positive
343,اللهم ارزقنا من خيري الدنيا الاخره ارزقنا حسن الخاتمه ارزقنا الفردوس الاعلى مع من نحب ارزقنا لذه النظر الى وجهك الكريم,Positive
344,اللهم ارزقنا واياك الجنه,Positive
345,اللهم ارزقني حبك حب من احبك حب عمل يقربني لحبك,Positive
346,اللهم ارزقني كما ترزق البغاث,Positive
347,اللهم ارضنا بما قسمته لنا,Positive
348,اللهم ارضنا و ارضى علينا,Positive
349,اللهم ارنا الحق حقا ارزقنا اتباعه ارنا الباطل باطلا ارزقنا اجتنابه,Positive
350,اللهم ارنا فيهم عجيب صنعك فانهم اذلو الشعوب,Negative
351,اللهم استخدمنا في طاعتك,Positive
352,اللهم استرنا وجميع بنات المسلمين,Positive
353,اللهم اسمعنا خير هذا اليوم و ما بعده و افتح لنا ابواب رزقك و رحمتك,Positive
354,اللهم اصلح حال المسلمين اجعلهم من الرباتين حتى نحرج مما نحن فيه لانه ان خلصت النوايا صلحت الاعمال,Positive
355,اللهم اصلح حالنا وشاننا كله واجمع لنا خير الامور,Positive
356,اللهم اصلح حالي احفظني نور قلبي اجعل طريق الخير طريقي اجعل عملي خالصا لوجهك الكريم توب علي اغفر لي زلاتي,Positive
357,اللهم اصلح نفوسنا لما يرضيك عنها,Positive
358,اللهم اعز المسلمين,Positive
359,اللهم اعصمنا عن معصيتك,Positive
360,اللهم اعنا ترك كل ما لا ترضي,Positive
361,اللهم اعنا على انفسنا اجعلنا نرى الدنيا صغيره الاخره كبير,Positive
362,اللهم اعنا على ذكرك وشكرك وحسن عبادتك,Positive
363,اللهم اعنى على ترك المعاصى حبا فى نور وجهك,Positive
364,اللهم اعني على ذكرك شكرك حسن عبادتك,Positive
365,اللهم اغفر لنا انا كنا ظالمين ادخلنا الجنه سالمين,Positive
366,اللهم اغفر له وسع لك رحمتك له اصلح له ذريته,Positive
367,اللهم اغفر لى لامه المسلمين اجمعين,Positive
368,اللهم اغفر لي ما لا يعلمون اجعلني خيرا مما يظنون,Positive
369,اللهم اغننا بحلالك عن حرامك اغننا بفضلك عمن سواك,Positive
370,اللهم اكثر من امثالك يا دكتور عمروالله نفسنا تشرفنا فى مسجد الصديق بشرتون هليوبوليس,Positive
371,اللهم اكرمنا برضاك,Positive
372,اللهم اكفني بحلالك عن حرامك واغنني بفضلك عمن سواك يا رب,Positive
373,اللهم القلوب الضاله,Positive
374,اللهم امليء قلبي بحبك,Positive
375,اللهم ان كان رزقي بعيدا فقربه لي ان كان قريبا فيسره لي وان كان كثيرا فبارك لي فيه,Positive
376,اللهم ان كان لي عوض على صبري,Positive
377,اللهم انا نسالك رزقا حلال طيبا مباركا يعيننا علي طاعتك,Positive
378,اللهم انا نشكو اليك ضعف قوتنا قله حيلتنا حسبنا الله نعم الوكيل,Negative
379,اللهم انا نعوذ بك من الرياء النفاق,Positive
380,اللهم انا نعوذ بك من غضبك نساللك رضاك,Positive
381,اللهم انر قلوب المسلمين ايقظهم من غفلتهم,Positive
382,اللهم انزع من قلبى حب كل شىء لا تحبه,Positive
383,اللهم انزع من قلوبنا مالا يرضيك,Positive
384,اللهم انس قلوبنا بذكرك,Positive
385,اللهم انصر الاسلام واعز المسلمين,Positive
386,اللهم انك عفو تحب العفو فاعف عنا,Positive
387,اللهم انى اقسمت عليك بك ان تهدى شباب المسلمين وتنور قلوبهم كما انعمت على طارق بنعمه الاسلام,Positive
388,اللهم اني اسالك اخلاص النيه كرم الطويه,Positive
389,اللهم اني اسالك خشيه في السر والعلن,Positive
390,اللهم اني اسالك صبرا,Positive
391,اللهم اني اسالك فعل الخيرات و ترك المنكرات و حب المساكين و ان تغفر لي و ترحمني و تتوب علي,Positive
392,اللهم اني استغفرك من كل الذنوب والمعاصي واتوب اليك,Positive
393,اللهم اني اعود بك من الذنوب التي تزيل نعمتك وتحول عافيتك وتحبس رزقك وتعجل بغضبك,Positive
394,اللهم اهدنا الى صراطتك المستقيم,Positive
395,اللهم اهدنا ثم ثبتنا,Positive
396,اللهم اهدنا صراطك المستقيم,Positive
397,اللهم اهدنا فيمن هديت وعافنا فيمن عافيت,Positive
398,اللهم اهدنا لكل عمل يقربنا اللى حبك,Positive
399,اللهم اهدنى الى ما تحب ترضى,Positive
400,اللهم باركي فيه واهدي كل مسلم لطريق النور,Positive
401,اللهم تب علينا انك التواب الرحيم,Positive
402,اللهم ثبت قلوبنا على الايمان,Positive
403,اللهم ثبتنا بالقول الثابت في الحياه الدنيا وفي الاخره,Positive
404,اللهم ثبتنا على قيام الليل في رمضان,Positive
405,اللهم ثبتنا وثبته على دينك الحنيف وسنه نبيك,Positive
406,اللهم ثبته على دين الاسلام اللهم يا مقلب القلوب ثبت قلبي على دينك,Positive
407,اللهم حسننا حسن اعمالنا ظاهرا باطنا لا تجعلنا نعمل الا ما يرضيك عنا برحمتك يا ارحم الراحمين,Positive
408,اللهم رزقنا مكارم الاخلاق,Positive
409,اللهم زيد المسلمين وبارك فيهم,Positive
410,اللهم زينا بالخلق الحسن ارزقنا الامانه نظافه القلب اللسان امين,Positive
411,اللهم عفوك رضاك الجنه,Positive
412,اللهم قني شر نفسي,Positive
413,اللهم قني عذاب النار ادخلني جناتك,Positive
414,اللهم قوِّ ايماننا لنكون اصحاب عزيمه قرار,Positive
415,اللهم قونا على نفوسنا الضعيفه,Positive
416,اللهم كما حسنت خَلقنا حَسن اَخلاقِنا,Positive
417,اللهم كن مع اخواننا في سوريا,Positive
418,اللهم لا اعتراض على حكمك ارزقنا انت خير الرازقين,Positive
